rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
36,politico,Politico,print_digital,0.00012309,0.162312,0.425000,0.00000848,0.00001142,high,8,8,32250.000000,25800000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/politico.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.politico.com/
37,wapo,The Washington Post,print_digital,0.00021870,0.145937,0.191667,0.00000657,0.00001720,high,8,8,57300.000000,45840000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/washingtonpost.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.washingtonpost.com/
38,breitbart,Breitbart,print_digital,0.00013268,0.122687,0.375000,0.00000590,0.00001440,high,8,8,34762.500000,27810000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/breitbart.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.breitbart.com/
39,business_insider,Business Insider,print_digital,0.00012739,0.113250,0.341667,0.00000560,0.00001605,high,8,8,33375.000000,26700000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/businessinsider.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.businessinsider.com/
40,latimes,Los Angeles Times,print_digital,0.00007490,0.127688,0.495833,0.00000471,0.00000794,high,8,8,19625.000000,15700000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/latimes.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.latimes.com/
41,atlantic,The Atlantic,print_digital,0.00006598,0.118750,0.558333,0.00000439,0.00000580,high,8,8,17287.500000,13830000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/theatlantic.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.theatlantic.com/
42,the_hill,The Hill,print_digital,0.00011460,0.147187,0.241667,0.00000435,0.00000770,high,8,8,30025.000000,24020000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/thehill.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://thehill.com/
43,newsweek,Newsweek,print_digital,0.00008822,0.100750,0.483333,0.00000420,0.00000805,high,8,8,23112.500000,18490000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/newsweek.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.newsweek.com/
44,axios,Axios,print_digital,0.00005940,0.134750,0.487500,0.00000388,0.00000607,high,8,8,15562.500000,12450000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/axios.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.axios.com/
45,daily_beast,The Daily Beast,print_digital,0.00008616,0.105688,0.383333,0.00000377,0.00000829,high,8,8,22575.000000,18060000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/thedailybeast.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.thedailybeast.com/
